t,i,j,k,v,q,exporter_name,importer_name
2024,4,48,271000,7.274,6.46,Afghanistan,Bahrain
2024,4,124,271000,0.019,0.001,Afghanistan,Canada
2024,4,508,271000,20.735,1.885,Afghanistan,Mozambique
2024,4,616,271000,174.42,28.764,Afghanistan,Poland
2024,4,826,271000,1.455,0.198,Afghanistan,United Kingdom
2024,4,854,271000,0.216,0.069,Afghanistan,Burkina Faso
2024,4,860,271000,13436.012,54311.09,Afghanistan,Uzbekistan
2024,8,40,271000,0.129,0.003,Albania,Austria
2024,8,56,271000,0.527,0.09,Albania,Belgium
2024,8,84,271000,71.231,26.273,Albania,Belize
2024,8,100,271000,32.618,22.793,Albania,Bulgaria
2024,8,124,271000,0.224,0.019,Albania,Canada
2024,8,156,270900,1.582,0.146,Albania,China
2024,8,191,271000,1200.662,905.332,Albania,Croatia
2024,8,203,271000,0.359,0.014,Albania,Czechia
2024,8,246,271000,0.043,0.022,Albania,Finland
2024,8,251,271000,1105.592,616.477,Albania,France
2024,8,276,271000,0.92,1.107,Albania,Germany
2024,8,300,270900,30.745,49.26,Albania,Greece
2024,8,300,271000,6455.162,5249.214,Albania,Greece
2024,8,380,270900,10112.894,21533.3,Albania,Italy
2024,8,380,271000,9056.924,11700.375,Albania,Italy
2024,8,470,271000,510.846,507.744,Albania,Malta
2024,8,499,271000,14559.231,10079.482,Albania,Montenegro
2024,8,528,271000,6996.697,6100.562,Albania,Netherlands
2024,8,591,271000,62.083,64.721,Albania,Panama
2024,8,616,271000,0.269,0.005,Albania,Poland
2024,8,642,271000,47.139,19.877,Albania,Romania
2024,8,688,271000,555.623,578.042,Albania,Serbia
2024,8,724,270900,98322.135,224932.0,Albania,Spain
2024,8,724,271000,0.119,0.002,Albania,Spain
2024,8,752,271000,0.568,0.856,Albania,Sweden
2024,8,764,271000,0.597,0.001,Albania,Thailand
2024,8,788,271000,246.471,332.756,Albania,Tunisia
2024,8,792,271000,1077.423,582.649,Albania,TÃ¼rkiye
2024,8,804,271000,0.107,0.015,Albania,Ukraine
2024,8,807,271000,55.134,73.26,Albania,North Macedonia
2024,8,860,271000,1.649,0.015,Albania,Uzbekistan
2024,12,36,270900,96921.278,151384.0,Algeria,Australia
2024,12,40,270900,113648.754,180448.0,Algeria,Austria
2024,12,40,271000,0.074,0.004,Algeria,Austria
2024,12,56,270900,47949.106,66515.2,Algeria,Belgium
2024,12,56,271000,395978.185,567595.554,Algeria,Belgium
2024,12,76,270900,760715.198,1049808.0,Algeria,Brazil
2024,12,76,271000,507613.946,673129.1,Algeria,Brazil
2024,12,100,271000,0.137,0.007,Algeria,Bulgaria
2024,12,124,271000,0.016,0.001,Algeria,Canada
2024,12,156,271000,356097.33,520945.2,Algeria,China
2024,12,196,271000,30767.559,47704.17,Algeria,Cyprus
2024,12,203,271000,1.515,0.404,Algeria,Czechia
2024,12,204,271000,80.716,36.275,Algeria,Benin
2024,12,251,270900,2696937.925,4124765.945,Algeria,France
2024,12,251,271000,565821.894,821761.671,Algeria,France
2024,12,276,270900,877281.863,1387647.0,Algeria,Germany
2024,12,276,271000,335704.109,502629.439,Algeria,Germany
2024,12,300,270900,49682.417,80361.2,Algeria,Greece
2024,12,300,271000,87328.214,149578.95,Algeria,Greece
2024,12,360,270900,383269.196,612887.0,Algeria,Indonesia
2024,12,372,271000,0.066,0.018,Algeria,Ireland
2024,12,380,270900,627488.438,1018480.0,Algeria,Italy
2024,12,380,271000,384381.419,658801.2,Algeria,Italy
2024,12,392,271000,63588.867,90856.4,Algeria,Japan
2024,12,410,270900,1131637.205,1634336.0,Algeria,Rep. of Korea
2024,12,410,271000,2467901.214,3523512.0,Algeria,Rep. of Korea
2024,12,440,270900,620703.853,963858.0,Algeria,Lithuania
2024,12,470,271000,65078.52,113140.99,Algeria,Malta
2024,12,478,271000,7.605,7.56,Algeria,Mauritania
2024,12,528,270900,844531.442,1346470.0,Algeria,Netherlands
2024,12,528,271000,613669.515,942165.881,Algeria,Netherlands
2024,12,562,271000,31.739,82.616,Algeria,Niger
2024,12,579,271000,18903.287,32924.5,Algeria,Norway
2024,12,616,270900,64754.728,108086.0,Algeria,Poland
2024,12,616,271000,0.62,0.052,Algeria,Poland
2024,12,620,270900,1121057.62,1787360.0,Algeria,Portugal
2024,12,620,271000,42592.133,65999.6,Algeria,Portugal
2024,12,686,271000,217.217,179.2,Algeria,Senegal
2024,12,699,270900,832907.171,1199000.0,Algeria,India
2024,12,699,271000,1368.502,2974.48,Algeria,India
2024,12,702,271000,197466.377,339523.0,Algeria,Singapore
2024,12,710,270900,93734.686,133913.0,Algeria,South Africa
2024,12,710,271000,0.618,0.251,Algeria,South Africa
2024,12,724,270900,1706335.822,2661550.8,Algeria,Spain
2024,12,724,271000,248982.11,419434.018,Algeria,Spain
2024,12,757,270900,52703.588,95451.0,Algeria,Switzerland
2024,12,788,271000,30.412,15.342,Algeria,Tunisia
2024,12,792,271000,63924.805,105263.813,Algeria,TÃ¼rkiye
2024,12,818,271000,6.248,3.259,Algeria,Egypt
2024,12,826,270900,753815.87,1135550.0,Algeria,United Kingdom
2024,12,826,271000,360402.807,608153.631,Algeria,United Kingdom
2024,12,842,270900,334329.462,628392.963,Algeria,USA
2024,12,842,271000,1745071.367,3088648.458,Algeria,USA
2024,12,854,271000,238.896,225.392,Algeria,Burkina Faso
2024,16,360,271000,0.587,0.001,American Samoa,Indonesia
2024,16,562,271000,1.555,1.5,American Samoa,Niger
2024,16,686,271000,1446.12,1500.0,American Samoa,Senegal
2024,20,124,271000,0.034,0.039,Andorra,Canada
2024,20,222,271000,2325.801,3148.24,Andorra,El Salvador
2024,20,251,271000,10.198,4.378,Andorra,France
2024,20,616,271000,0.078,0.008,Andorra,Poland
2024,20,724,271000,0.489,0.03,Andorra,Spain
2024,24,56,270900,0.275,0.008,Angola,Belgium
2024,24,56,271000,7593.464,11456.43,Angola,Belgium
2024,24,76,270900,940947.258,1657052.15,Angola,Brazil
2024,24,76,271000,69057.479,85284.8,Angola,Brazil
2024,24,124,270900,726888.33,8985.21,Angola,Canada
2024,24,156,270900,15573924.084,28721490.0,Angola,China
2024,24,191,270900,78379.253,982.066,Angola,Croatia
2024,24,203,271000,0.587,0.043,Angola,Czechia
2024,24,251,270900,1629514.992,2718979.326,Angola,France
2024,24,251,271000,12.287,1.519,Angola,France
2024,24,276,270900,111050.492,195933.3,Angola,Germany
2024,24,276,271000,0.21,0.257,Angola,Germany
2024,24,292,270900,92885.257,1158.7,Angola,Gibraltar
2024,24,292,271000,16310.566,,Angola,Gibraltar
2024,24,300,271000,0.015,0.001,Angola,Greece
2024,24,360,270900,1701828.436,2946860.0,Angola,Indonesia
2024,24,360,271000,1.927,0.064,Angola,Indonesia
2024,24,376,270900,78189.282,950.514,Angola,Israel
2024,24,380,270900,498206.982,915505.0,Angola,Italy
2024,24,458,270900,374545.278,664099.078,Angola,Malaysia
2024,24,480,271000,32500.784,57964.6,Angola,Mauritius
2024,24,504,271000,110.093,129.6,Angola,Morocco
2024,24,516,271000,230.347,173.121,Angola,Namibia
2024,24,528,270900,604486.564,1093030.002,Angola,Netherlands
2024,24,528,271000,6.507,6.126,Angola,Netherlands
2024,24,620,270900,65623.422,129246.933,Angola,Portugal
2024,24,620,271000,1.232,0.144,Angola,Portugal
2024,24,678,271000,16788.975,,Angola,Sao Tome and Principe
