Entity,Code,Year,Per capita energy consumption,GDP per capita,World region according to OWID,GDP per capita (Original Year),Per capita energy consumption (Original Year)
Afghanistan,AFG,2024,971.6966,1983.8126,Asia,2023,2023
Albania,ALB,2024,9167.564,21641.074,Europe,,
Algeria,DZA,2024,16237.188,15501.92,Africa,,
Angola,AGO,2024,2659.693,8901.888,Africa,,
Antigua and Barbuda,ATG,2024,33242.316,29371.639,North America,,
Argentina,ARG,2024,21513.947,26771.965,South America,,
Armenia,ARM,2024,16739.324,20078.785,Asia,,
Aruba,ABW,2024,45574.95,44558.93,North America,,
Australia,AUS,2024,62595.04,60303.98,Oceania,,
Austria,AUT,2024,45208.31,63788.08,Europe,,
Azerbaijan,AZE,2024,20137.387,22072.148,Asia,,
Bahamas,BHS,2024,34643.33,36244.05,North America,,
Bahrain,BHR,2024,152038.3,58891.832,Asia,,
Bangladesh,BGD,2024,3048.3135,8486.785,Asia,,
Barbados,BRB,2024,23965.328,21837.725,North America,,
Belarus,BLR,2024,34632.566,29040.973,Europe,,
Belgium,BEL,2024,54870.88,63347.785,Europe,,
Belize,BLZ,2024,10112.117,12621.408,North America,,
Benin,BEN,2024,2171.8225,3901.326,Africa,,
Bermuda,BMU,2024,37280.26,109311.94,North America,,
Bhutan,BTN,2024,20020.596,14610.296,Asia,2023,2023
Bolivia,BOL,2024,9380.434,11329.151,South America,,
Bosnia and Herzegovina,BIH,2024,27656.611,20527.693,Europe,,
Botswana,BWA,2024,9810.756,18068.506,Africa,,
Brazil,BRA,2024,18486.229,19652.365,South America,,
Brunei,BRN,2024,121979.82,79071.734,Asia,,
Bulgaria,BGR,2024,28381.64,34221.53,Europe,,
Burkina Faso,BFA,2024,1062.505,2547.6724,Africa,,
Burundi,BDI,2024,278.34103,1051.2593,Africa,,
Cambodia,KHM,2024,4967.972,7008.889,Asia,,
Cameroon,CMR,2024,1202.7491,4916.9336,Africa,,
Canada,CAN,2024,97784.54,56706.824,North America,,
Cape Verde,CPV,2024,5931.5093,9848.953,Africa,,
Cayman Islands,CYM,2024,48111.23,79675.86,North America,2023,2023
Central African Republic,CAF,2024,356.6505,1111.2194,Africa,,
Chad,TCD,2024,382.54034,2412.866,Africa,,
Chile,CHL,2024,26245.264,30182.787,South America,,
China,CHN,2024,34514.457,23845.62,Asia,,
Colombia,COL,2024,11645.494,18477.215,South America,,
Comoros,COM,2024,1821.2346,3482.535,Africa,,
Congo,COG,2024,3857.942,6181.4707,Africa,,
Costa Rica,CRI,2024,9627.194,26973.436,North America,,
Cote d'Ivoire,CIV,2024,2612.0803,6747.038,Africa,,
Croatia,HRV,2024,26615.488,42829.2,Europe,,
Cyprus,CYP,2024,24551.195,52635.582,Europe,,
Czechia,CZE,2024,36589.773,47963.9,Europe,,
Democratic Republic of Congo,COD,2024,312.46207,1602.075,Africa,,
Denmark,DNK,2024,32832.465,71431.29,Europe,,
Djibouti,DJI,2024,3001.8767,6871.1245,Africa,,
Dominica,DMA,2024,11692.853,18739.363,North America,,
Dominican Republic,DOM,2024,12252.859,24229.889,North America,,
East Timor,TLS,2024,1982.7366,3890.9575,Asia,,
Ecuador,ECU,2024,12722.083,13935.539,South America,,
Egypt,EGY,2024,9660.864,16798.152,Africa,,
El Salvador,SLV,2024,7385.741,11669.082,North America,,
Equatorial Guinea,GNQ,2024,16416.217,15454.429,Africa,,
Estonia,EST,2024,40986.305,41189.668,Europe,,
Eswatini,SWZ,2024,5606.7744,10380.396,Africa,,
Ethiopia,ETH,2024,685.70764,2892.2222,Africa,,
European Union (27),OWID_EU27,2024,35317.984,54337.918,,,
Faroe Islands,FRO,2024,64641.76,72059.58,Europe,,
Fiji,FJI,2024,10950.276,13592.464,Oceania,,
Finland,FIN,2024,59564.754,56123.15,Europe,,
France,FRA,2024,37865.61,54799.348,Europe,,
Gabon,GAB,2024,6763.3564,18923.662,Africa,,
Gambia,GMB,2024,833.6302,3057.684,Africa,,
Georgia,GEO,2024,18798.164,24883.908,Asia,,
Germany,DEU,2024,37792.51,62554.555,Europe,,
Ghana,GHA,2024,3263.3418,7055.625,Africa,,
Greece,GRC,2024,31965.838,37474.28,Europe,,
Greenland,GRL,2024,48129.91,71037.54,North America,2023,2023
Grenada,GRD,2024,14321.675,17751.51,North America,,
Guatemala,GTM,2024,5430.201,12640.888,North America,,
Guinea,GIN,2024,1483.4702,4016.3418,Africa,,
Guinea-Bissau,GNB,2024,692.5512,2744.2798,Africa,,
Guyana,GUY,2024,19789.193,70516.72,South America,,
Haiti,HTI,2024,602.284,2809.6453,North America,,
High-income countries,OWID_HIC,2024,55284.637,58334.816,,,
Honduras,HND,2024,5241.65,6585.8555,North America,,
Hong Kong,HKG,2024,36808.547,66153.98,Asia,,
Hungary,HUN,2024,26952.049,40686.934,Europe,,
Iceland,ISL,2024,159676.39,67310.055,Europe,,
India,IND,2024,7812.9277,9818.043,Asia,,
Indonesia,IDN,2024,10528.601,14470.4375,Asia,,
Iran,IRN,2024,39203.61,17484.133,Asia,,
Iraq,IRQ,2024,16002.357,12725.043,Asia,,
Ireland,IRL,2024,34593.98,119037.734,Europe,,
Israel,ISR,2024,29591.316,47338.844,Asia,,
Italy,ITA,2024,28584.518,53265.004,Europe,,
Jamaica,JAM,2024,12504.468,11340.264,North America,,
Japan,JPN,2024,38745.04,46106.92,Asia,,
Jordan,JOR,2024,9316.197,9520.251,Asia,,
Kazakhstan,KAZ,2024,41865.195,35973.965,Asia,,
Kenya,KEN,2024,1676.7908,5845.201,Africa,,
Kiribati,KIR,2024,2672.9912,3257.1362,Oceania,,
Kosovo,OWID_KOS,2024,17884.244,15716.293,Europe,,
Kuwait,KWT,2024,106398.59,46137.47,Asia,,
Kyrgyzstan,KGZ,2024,7651.543,7048.9897,Asia,,
Laos,LAO,2024,10887.287,8600.324,Asia,,
Latvia,LVA,2024,20722.363,37611.67,Europe,,
Lebanon,LBN,2024,12173.08,11330.269,Asia,2023,2023
Lesotho,LSO,2024,1681.6976,2640.2854,Africa,,
Liberia,LBR,2024,569.85297,1646.0586,Africa,,
Libya,LBY,2024,33362.95,12583.834,Africa,,
Lithuania,LTU,2024,25660.39,47165.367,Europe,,
Low-income countries,OWID_LIC,2024,1127.2815,2252.951,,,
